line,move,espeed,dir,end,x,y,z,pitch,roll,yaw,fspeed
1102,1,6,1,0,389.3488,1.5267,3.7,0,0,0,
1105,1,6,1,0,389.9172,1.5627,3.7,0,0,0,
1108,1,6,1,0,390.4884,1.5976,3.7,0,0,0,
1111,1,6,1,0,391.0624,1.6313,3.7,0,0,0,
1114,1,6,1,0,391.6391,1.6639,3.7,0,0,0,
1117,1,6,1,0,392.2185,1.6954,3.7,0,0,0,
1120,1,6,1,0,392.8007,1.7256,3.7,0,0,0,
1123,1,6,1,0,393.3856,1.7545,3.7,0,0,0,
1126,1,6,1,0,393.9733,1.7822,3.7,0,0,0,
1129,1,6,1,0,394.5637,1.8086,3.7,0,0,0,
1132,1,6,1,0,395.1568,1.8337,3.7,0,0,0,
1135,1,6,1,0,395.7526,1.8574,3.7,0,0,0,
1138,1,6,1,0,396.3512,1.8798,3.7,0,0,0,
1141,1,6,1,0,396.9526,1.9008,3.7,0,0,0,
1144,1,6,1,0,397.5566,1.9203,3.7,0,0,0,
1147,1,6,1,0,398.1634,1.9384,3.7,0,0,0,
1150,1,6,1,0,398.7729,1.955,3.7,0,0,0,
1153,1,6,1,0,399.3851,1.9701,3.7,0,0,0,
1156,1,6,1,0,400,1.9837,3.7,0,0,0,
1159,1,6,1,0,400.6176,1.9957,3.7,0,0,0,
1162,1,6,1,0,401.238,2.0062,3.7,0,0,0,
1165,1,6,1,0,401.861,2.015,3.7,0,0,0,
1168,1,6,1,0,402.4868,2.0222,3.7,0,0,0,
1171,1,6,1,0,403.1152,2.0277,3.7,0,0,0,
1174,1,6,1,0,403.7464,2.0315,3.7,0,0,0,
1177,1,6,1,0,404.3802,2.0336,3.7,0,0,0,
1180,1,6,1,0,405.0167,2.0338,3.7,0,0,0,
1183,1,6,1,0,405.6559,2.0323,3.7,0,0,0,
1186,1,6,1,0,406.2977,2.029,3.7,0,0,0,
1189,1,6,1,0,406.9422,2.0238,3.7,0,0,0,
1192,1,6,1,0,407.5894,2.0166,3.7,0,0,0,
1195,1,6,1,0,408.2392,2.0076,3.7,0,0,0,
1198,1,6,1,0,408.8917,1.9966,3.7,0,0,0,
1201,1,6,1,0,409.5468,1.9835,3.7,0,0,0,
1204,1,6,1,0,410.2046,1.9685,3.7,0,0,0,
1207,1,6,1,0,410.865,1.9514,3.7,0,0,0,
1210,1,6,1,0,411.528,1.9322,3.7,0,0,0,
1213,1,6,1,0,412.1936,1.9109,3.7,0,0,0,
